step=100, loss=0.826579, loss_cpred=0.280937, loss_apred=0.280654, loss_diff=0.264988
step=200, loss=0.305080, loss_cpred=0.123153, loss_apred=0.123263, loss_diff=0.058665
step=300, loss=0.237242, loss_cpred=0.094878, loss_apred=0.096452, loss_diff=0.045912
step=400, loss=0.243749, loss_cpred=0.100806, loss_apred=0.099920, loss_diff=0.043023
step=500, loss=0.182080, loss_cpred=0.071460, loss_apred=0.074541, loss_diff=0.036079
step=600, loss=0.229843, loss_cpred=0.094293, loss_apred=0.092360, loss_diff=0.043190
step=700, loss=0.153350, loss_cpred=0.062096, loss_apred=0.059550, loss_diff=0.031704
step=800, loss=0.190619, loss_cpred=0.075831, loss_apred=0.074841, loss_diff=0.039946
step=900, loss=0.189251, loss_cpred=0.078426, loss_apred=0.075413, loss_diff=0.035411
step=1000, loss=0.176336, loss_cpred=0.070355, loss_apred=0.070157, loss_diff=0.035823
step=1100, loss=0.157619, loss_cpred=0.060114, loss_apred=0.063131, loss_diff=0.034374
step=1200, loss=0.167498, loss_cpred=0.067828, loss_apred=0.067487, loss_diff=0.032182
step=1300, loss=0.160521, loss_cpred=0.061581, loss_apred=0.063644, loss_diff=0.035295
step=1400, loss=0.174723, loss_cpred=0.068379, loss_apred=0.071310, loss_diff=0.035035
step=1500, loss=0.156837, loss_cpred=0.061592, loss_apred=0.059982, loss_diff=0.035263
step=1600, loss=0.158619, loss_cpred=0.060963, loss_apred=0.059631, loss_diff=0.038025
step=1700, loss=0.128350, loss_cpred=0.047865, loss_apred=0.048240, loss_diff=0.032245
step=1800, loss=0.125758, loss_cpred=0.048432, loss_apred=0.049674, loss_diff=0.027652
step=1900, loss=0.163054, loss_cpred=0.063540, loss_apred=0.065531, loss_diff=0.033983
step=2000, loss=0.149251, loss_cpred=0.057429, loss_apred=0.055248, loss_diff=0.036574
step=2100, loss=0.138286, loss_cpred=0.055324, loss_apred=0.053875, loss_diff=0.029087
step=2200, loss=0.143732, loss_cpred=0.057195, loss_apred=0.053706, loss_diff=0.032830
step=2300, loss=0.138365, loss_cpred=0.052536, loss_apred=0.052562, loss_diff=0.033267
step=2400, loss=0.163784, loss_cpred=0.064488, loss_apred=0.064443, loss_diff=0.034854
step=2500, loss=0.136640, loss_cpred=0.054759, loss_apred=0.052965, loss_diff=0.028916
step=2600, loss=0.145161, loss_cpred=0.055359, loss_apred=0.056437, loss_diff=0.033364
step=2700, loss=0.142359, loss_cpred=0.056647, loss_apred=0.054342, loss_diff=0.031369
step=2800, loss=0.122957, loss_cpred=0.046502, loss_apred=0.046851, loss_diff=0.029605
step=2900, loss=0.129405, loss_cpred=0.049052, loss_apred=0.049565, loss_diff=0.030789
step=3000, loss=0.145499, loss_cpred=0.058348, loss_apred=0.053199, loss_diff=0.033952
step=3100, loss=0.137859, loss_cpred=0.052473, loss_apred=0.052951, loss_diff=0.032435
step=3200, loss=0.151542, loss_cpred=0.062344, loss_apred=0.060123, loss_diff=0.029075
step=3300, loss=0.159329, loss_cpred=0.063846, loss_apred=0.065103, loss_diff=0.030381
step=3400, loss=0.163114, loss_cpred=0.063554, loss_apred=0.065559, loss_diff=0.034000
step=3500, loss=0.138791, loss_cpred=0.053684, loss_apred=0.054801, loss_diff=0.030307
step=3600, loss=0.103088, loss_cpred=0.038312, loss_apred=0.037928, loss_diff=0.026848
step=3700, loss=0.134668, loss_cpred=0.051597, loss_apred=0.052612, loss_diff=0.030459
step=3800, loss=0.146343, loss_cpred=0.058309, loss_apred=0.054718, loss_diff=0.033316
step=3900, loss=0.129546, loss_cpred=0.048121, loss_apred=0.050513, loss_diff=0.030912
step=4000, loss=0.122148, loss_cpred=0.045269, loss_apred=0.047056, loss_diff=0.029822
step=4100, loss=0.107462, loss_cpred=0.038763, loss_apred=0.038249, loss_diff=0.030450
step=4200, loss=0.120441, loss_cpred=0.045086, loss_apred=0.045734, loss_diff=0.029621
step=4300, loss=0.123927, loss_cpred=0.046333, loss_apred=0.045775, loss_diff=0.031819
step=4400, loss=0.103142, loss_cpred=0.038818, loss_apred=0.039223, loss_diff=0.025102
step=4500, loss=0.132499, loss_cpred=0.054200, loss_apred=0.049858, loss_diff=0.028441
step=4600, loss=0.135813, loss_cpred=0.052074, loss_apred=0.053799, loss_diff=0.029940
step=4700, loss=0.137053, loss_cpred=0.053461, loss_apred=0.051143, loss_diff=0.032449
step=4800, loss=0.104782, loss_cpred=0.040358, loss_apred=0.039009, loss_diff=0.025415
step=4900, loss=0.106101, loss_cpred=0.038174, loss_apred=0.039547, loss_diff=0.028380
step=5000, loss=0.100689, loss_cpred=0.035438, loss_apred=0.033713, loss_diff=0.031539
step=5100, loss=0.123781, loss_cpred=0.044935, loss_apred=0.046962, loss_diff=0.031885
step=5200, loss=0.097592, loss_cpred=0.036546, loss_apred=0.036833, loss_diff=0.024213
step=5300, loss=0.109678, loss_cpred=0.040771, loss_apred=0.042071, loss_diff=0.026837
step=5400, loss=0.103637, loss_cpred=0.037838, loss_apred=0.037223, loss_diff=0.028576
step=5500, loss=0.123381, loss_cpred=0.049047, loss_apred=0.046794, loss_diff=0.027540
step=5600, loss=0.127760, loss_cpred=0.049727, loss_apred=0.046937, loss_diff=0.031095
step=5700, loss=0.131968, loss_cpred=0.049392, loss_apred=0.049447, loss_diff=0.033130
step=5800, loss=0.121984, loss_cpred=0.047740, loss_apred=0.044965, loss_diff=0.029279
step=5900, loss=0.142032, loss_cpred=0.055404, loss_apred=0.053167, loss_diff=0.033461
step=6000, loss=0.108010, loss_cpred=0.039345, loss_apred=0.038170, loss_diff=0.030496
step=6100, loss=0.130391, loss_cpred=0.051196, loss_apred=0.048740, loss_diff=0.030455
step=6200, loss=0.124962, loss_cpred=0.047773, loss_apred=0.045679, loss_diff=0.031511
step=6300, loss=0.122766, loss_cpred=0.047513, loss_apred=0.046046, loss_diff=0.029207
step=6400, loss=0.118790, loss_cpred=0.046681, loss_apred=0.046338, loss_diff=0.025771
step=6500, loss=0.119967, loss_cpred=0.041776, loss_apred=0.045436, loss_diff=0.032755
step=6600, loss=0.125480, loss_cpred=0.047297, loss_apred=0.046813, loss_diff=0.031370
step=6700, loss=0.110451, loss_cpred=0.041547, loss_apred=0.038493, loss_diff=0.030411
step=6800, loss=0.134415, loss_cpred=0.050252, loss_apred=0.050096, loss_diff=0.034067
step=6900, loss=0.129160, loss_cpred=0.048923, loss_apred=0.051060, loss_diff=0.029178
step=7000, loss=0.100038, loss_cpred=0.036985, loss_apred=0.035947, loss_diff=0.027106
step=7100, loss=0.103222, loss_cpred=0.039508, loss_apred=0.037833, loss_diff=0.025881
step=7200, loss=0.126231, loss_cpred=0.044661, loss_apred=0.046624, loss_diff=0.034945
step=7300, loss=0.102656, loss_cpred=0.037048, loss_apred=0.038996, loss_diff=0.026611
step=7400, loss=0.109981, loss_cpred=0.040458, loss_apred=0.038290, loss_diff=0.031234
step=7500, loss=0.099193, loss_cpred=0.035841, loss_apred=0.035726, loss_diff=0.027626
step=7600, loss=0.118332, loss_cpred=0.043746, loss_apred=0.045398, loss_diff=0.029188
step=7700, loss=0.108482, loss_cpred=0.038436, loss_apred=0.040732, loss_diff=0.029315
step=7800, loss=0.104542, loss_cpred=0.039619, loss_apred=0.038327, loss_diff=0.026596
step=7900, loss=0.115333, loss_cpred=0.041396, loss_apred=0.044693, loss_diff=0.029244
step=8000, loss=0.099394, loss_cpred=0.037340, loss_apred=0.036490, loss_diff=0.025564
step=8100, loss=0.144502, loss_cpred=0.056637, loss_apred=0.058094, loss_diff=0.029771
step=8200, loss=0.109287, loss_cpred=0.043280, loss_apred=0.041695, loss_diff=0.024312
step=8300, loss=0.103019, loss_cpred=0.035939, loss_apred=0.036522, loss_diff=0.030558
step=8400, loss=0.100627, loss_cpred=0.034398, loss_apred=0.035794, loss_diff=0.030434
step=8500, loss=0.106731, loss_cpred=0.038591, loss_apred=0.039877, loss_diff=0.028264
step=8600, loss=0.096821, loss_cpred=0.034410, loss_apred=0.034591, loss_diff=0.027819
step=8700, loss=0.117260, loss_cpred=0.044899, loss_apred=0.043775, loss_diff=0.028587
step=8800, loss=0.111753, loss_cpred=0.039539, loss_apred=0.040154, loss_diff=0.032059
step=8900, loss=0.094580, loss_cpred=0.035956, loss_apred=0.035081, loss_diff=0.023543
step=9000, loss=0.102908, loss_cpred=0.037424, loss_apred=0.037051, loss_diff=0.028433
step=9100, loss=0.099054, loss_cpred=0.037563, loss_apred=0.035630, loss_diff=0.025860
step=9200, loss=0.111023, loss_cpred=0.041286, loss_apred=0.043114, loss_diff=0.026622
step=9300, loss=0.100987, loss_cpred=0.037949, loss_apred=0.035704, loss_diff=0.027334
step=9400, loss=0.145014, loss_cpred=0.053459, loss_apred=0.057729, loss_diff=0.033826
step=9500, loss=0.106766, loss_cpred=0.039242, loss_apred=0.040631, loss_diff=0.026893
step=9600, loss=0.098672, loss_cpred=0.035760, loss_apred=0.035188, loss_diff=0.027724
step=9700, loss=0.104225, loss_cpred=0.036066, loss_apred=0.036706, loss_diff=0.031453
step=9800, loss=0.131191, loss_cpred=0.048610, loss_apred=0.047875, loss_diff=0.034705
step=9900, loss=0.103066, loss_cpred=0.036001, loss_apred=0.038023, loss_diff=0.029042
step=10000, loss=0.110707, loss_cpred=0.041567, loss_apred=0.043619, loss_diff=0.025521
step=10100, loss=0.104635, loss_cpred=0.039645, loss_apred=0.040109, loss_diff=0.024882
step=10200, loss=0.116977, loss_cpred=0.045099, loss_apred=0.042853, loss_diff=0.029026
step=10300, loss=0.093132, loss_cpred=0.032219, loss_apred=0.032594, loss_diff=0.028319
step=10400, loss=0.096035, loss_cpred=0.036474, loss_apred=0.033764, loss_diff=0.025797
step=10500, loss=0.111948, loss_cpred=0.040911, loss_apred=0.040805, loss_diff=0.030233
step=10600, loss=0.105198, loss_cpred=0.036064, loss_apred=0.038421, loss_diff=0.030713
step=10700, loss=0.097179, loss_cpred=0.035733, loss_apred=0.035455, loss_diff=0.025991
step=10800, loss=0.094991, loss_cpred=0.034645, loss_apred=0.032855, loss_diff=0.027491
step=10900, loss=0.104880, loss_cpred=0.038959, loss_apred=0.038186, loss_diff=0.027736
step=11000, loss=0.100640, loss_cpred=0.037118, loss_apred=0.038070, loss_diff=0.025452
step=11100, loss=0.108281, loss_cpred=0.038077, loss_apred=0.041834, loss_diff=0.028370
step=11200, loss=0.080883, loss_cpred=0.028579, loss_apred=0.030476, loss_diff=0.021828
step=11300, loss=0.105271, loss_cpred=0.038014, loss_apred=0.036624, loss_diff=0.030633
step=11400, loss=0.106674, loss_cpred=0.043800, loss_apred=0.038196, loss_diff=0.024677
step=11500, loss=0.106621, loss_cpred=0.039093, loss_apred=0.039913, loss_diff=0.027616
step=11600, loss=0.094511, loss_cpred=0.034468, loss_apred=0.031983, loss_diff=0.028060
step=11700, loss=0.092276, loss_cpred=0.030973, loss_apred=0.033323, loss_diff=0.027980
step=11800, loss=0.096302, loss_cpred=0.036919, loss_apred=0.035386, loss_diff=0.023997
step=11900, loss=0.099260, loss_cpred=0.034813, loss_apred=0.037922, loss_diff=0.026525
