step=100, loss=0.001781, loss_cross=0.000369, loss_adv_spatial=0.000719, loss_adv_temporal=0.000693
step=200, loss=0.001480, loss_cross=0.000095, loss_adv_spatial=0.000693, loss_adv_temporal=0.000693
step=300, loss=0.001472, loss_cross=0.000080, loss_adv_spatial=0.000696, loss_adv_temporal=0.000696
step=400, loss=0.001459, loss_cross=0.000073, loss_adv_spatial=0.000693, loss_adv_temporal=0.000693
step=500, loss=0.001458, loss_cross=0.000070, loss_adv_spatial=0.000695, loss_adv_temporal=0.000693
step=600, loss=0.001465, loss_cross=0.000076, loss_adv_spatial=0.000696, loss_adv_temporal=0.000693
step=700, loss=0.001452, loss_cross=0.000059, loss_adv_spatial=0.000699, loss_adv_temporal=0.000694
step=800, loss=0.001461, loss_cross=0.000067, loss_adv_spatial=0.000698, loss_adv_temporal=0.000696
step=900, loss=0.001448, loss_cross=0.000062, loss_adv_spatial=0.000693, loss_adv_temporal=0.000693
step=1000, loss=0.001454, loss_cross=0.000064, loss_adv_spatial=0.000695, loss_adv_temporal=0.000695
step=1100, loss=0.001471, loss_cross=0.000072, loss_adv_spatial=0.000701, loss_adv_temporal=0.000698
step=1200, loss=0.001463, loss_cross=0.000071, loss_adv_spatial=0.000695, loss_adv_temporal=0.000697
step=1300, loss=0.001460, loss_cross=0.000066, loss_adv_spatial=0.000700, loss_adv_temporal=0.000694
step=1400, loss=0.001458, loss_cross=0.000071, loss_adv_spatial=0.000693, loss_adv_temporal=0.000693
step=1500, loss=0.001479, loss_cross=0.000074, loss_adv_spatial=0.000711, loss_adv_temporal=0.000694
step=1600, loss=0.001495, loss_cross=0.000073, loss_adv_spatial=0.000727, loss_adv_temporal=0.000695
step=1700, loss=0.001498, loss_cross=0.000076, loss_adv_spatial=0.000718, loss_adv_temporal=0.000704
step=1800, loss=0.001465, loss_cross=0.000065, loss_adv_spatial=0.000706, loss_adv_temporal=0.000693
step=1900, loss=0.001464, loss_cross=0.000077, loss_adv_spatial=0.000694, loss_adv_temporal=0.000693
step=2000, loss=0.001458, loss_cross=0.000073, loss_adv_spatial=0.000691, loss_adv_temporal=0.000694
step=2100, loss=0.001475, loss_cross=0.000082, loss_adv_spatial=0.000699, loss_adv_temporal=0.000694
step=2200, loss=0.001489, loss_cross=0.000083, loss_adv_spatial=0.000709, loss_adv_temporal=0.000697
step=2300, loss=0.001457, loss_cross=0.000073, loss_adv_spatial=0.000690, loss_adv_temporal=0.000694
step=2400, loss=0.001515, loss_cross=0.000098, loss_adv_spatial=0.000719, loss_adv_temporal=0.000698
step=2500, loss=0.001476, loss_cross=0.000085, loss_adv_spatial=0.000697, loss_adv_temporal=0.000693
step=2600, loss=0.001471, loss_cross=0.000082, loss_adv_spatial=0.000694, loss_adv_temporal=0.000695
step=2700, loss=0.001501, loss_cross=0.000098, loss_adv_spatial=0.000707, loss_adv_temporal=0.000696
step=2800, loss=0.001485, loss_cross=0.000083, loss_adv_spatial=0.000698, loss_adv_temporal=0.000703
step=2900, loss=0.001522, loss_cross=0.000089, loss_adv_spatial=0.000738, loss_adv_temporal=0.000694
step=3000, loss=0.001505, loss_cross=0.000087, loss_adv_spatial=0.000716, loss_adv_temporal=0.000703
step=3100, loss=0.001515, loss_cross=0.000102, loss_adv_spatial=0.000709, loss_adv_temporal=0.000704
step=3200, loss=0.001474, loss_cross=0.000084, loss_adv_spatial=0.000693, loss_adv_temporal=0.000696
step=3300, loss=0.001491, loss_cross=0.000090, loss_adv_spatial=0.000706, loss_adv_temporal=0.000695
step=3400, loss=0.001519, loss_cross=0.000104, loss_adv_spatial=0.000703, loss_adv_temporal=0.000712
step=3500, loss=0.001524, loss_cross=0.000116, loss_adv_spatial=0.000709, loss_adv_temporal=0.000699
step=3600, loss=0.001554, loss_cross=0.000093, loss_adv_spatial=0.000753, loss_adv_temporal=0.000708
step=3700, loss=0.001539, loss_cross=0.000110, loss_adv_spatial=0.000727, loss_adv_temporal=0.000702
step=3800, loss=0.001518, loss_cross=0.000112, loss_adv_spatial=0.000707, loss_adv_temporal=0.000699
step=3900, loss=0.001555, loss_cross=0.000119, loss_adv_spatial=0.000728, loss_adv_temporal=0.000709
step=4000, loss=0.001517, loss_cross=0.000113, loss_adv_spatial=0.000706, loss_adv_temporal=0.000699
step=4100, loss=0.001551, loss_cross=0.000110, loss_adv_spatial=0.000734, loss_adv_temporal=0.000707
