step=100, loss=0.867446, loss_cpred=0.302353, loss_apred=0.301228, loss_diff=0.263865
step=200, loss=0.355606, loss_cpred=0.140299, loss_apred=0.144462, loss_diff=0.070846
step=300, loss=0.350857, loss_cpred=0.138043, loss_apred=0.143024, loss_diff=0.069789
step=400, loss=0.289990, loss_cpred=0.120291, loss_apred=0.124107, loss_diff=0.045592
step=500, loss=0.280752, loss_cpred=0.115988, loss_apred=0.116708, loss_diff=0.048055
step=600, loss=0.234798, loss_cpred=0.093681, loss_apred=0.095209, loss_diff=0.045908
step=700, loss=0.249598, loss_cpred=0.102839, loss_apred=0.105442, loss_diff=0.041317
step=800, loss=0.232770, loss_cpred=0.098486, loss_apred=0.097392, loss_diff=0.036892
step=900, loss=0.236244, loss_cpred=0.098264, loss_apred=0.098222, loss_diff=0.039757
step=1000, loss=0.222608, loss_cpred=0.088365, loss_apred=0.092118, loss_diff=0.042125
step=1100, loss=0.241378, loss_cpred=0.095769, loss_apred=0.098969, loss_diff=0.046640
step=1200, loss=0.224556, loss_cpred=0.089514, loss_apred=0.095505, loss_diff=0.039537
step=1300, loss=0.250286, loss_cpred=0.105062, loss_apred=0.107393, loss_diff=0.037830
step=1400, loss=0.171658, loss_cpred=0.066973, loss_apred=0.065722, loss_diff=0.038964
step=1500, loss=0.184416, loss_cpred=0.073387, loss_apred=0.075172, loss_diff=0.035858
step=1600, loss=0.208739, loss_cpred=0.081108, loss_apred=0.078660, loss_diff=0.048970
step=1700, loss=0.181768, loss_cpred=0.072178, loss_apred=0.071879, loss_diff=0.037711
step=1800, loss=0.146086, loss_cpred=0.056607, loss_apred=0.054550, loss_diff=0.034929
step=1900, loss=0.151134, loss_cpred=0.059800, loss_apred=0.062047, loss_diff=0.029286
step=2000, loss=0.157839, loss_cpred=0.061298, loss_apred=0.062577, loss_diff=0.033964
step=2100, loss=0.180659, loss_cpred=0.073239, loss_apred=0.074295, loss_diff=0.033124
step=2200, loss=0.189320, loss_cpred=0.071777, loss_apred=0.070277, loss_diff=0.047266
step=2300, loss=0.160977, loss_cpred=0.063124, loss_apred=0.063574, loss_diff=0.034280
step=2400, loss=0.144902, loss_cpred=0.059426, loss_apred=0.055846, loss_diff=0.029631
step=2500, loss=0.134948, loss_cpred=0.049739, loss_apred=0.053170, loss_diff=0.032038
step=2600, loss=0.156919, loss_cpred=0.065145, loss_apred=0.057656, loss_diff=0.034119
step=2700, loss=0.133762, loss_cpred=0.051509, loss_apred=0.045007, loss_diff=0.037245
step=2800, loss=0.142075, loss_cpred=0.051478, loss_apred=0.051368, loss_diff=0.039229
step=2900, loss=0.129633, loss_cpred=0.048969, loss_apred=0.047962, loss_diff=0.032701
step=3000, loss=0.115429, loss_cpred=0.042184, loss_apred=0.039828, loss_diff=0.033417
step=3100, loss=0.171377, loss_cpred=0.065300, loss_apred=0.064042, loss_diff=0.042035
step=3200, loss=0.132176, loss_cpred=0.053525, loss_apred=0.052024, loss_diff=0.026628
step=3300, loss=0.106722, loss_cpred=0.039502, loss_apred=0.037970, loss_diff=0.029250
step=3400, loss=0.148513, loss_cpred=0.053422, loss_apred=0.054331, loss_diff=0.040761
step=3500, loss=0.136445, loss_cpred=0.048528, loss_apred=0.050538, loss_diff=0.037379
