step=100, loss=0.069575, loss_cross=0.055537, loss_adv_spatial=0.007007, loss_adv_temporal=0.007031
step=200, loss=0.032175, loss_cross=0.018307, loss_adv_spatial=0.006937, loss_adv_temporal=0.006931
step=300, loss=0.026611, loss_cross=0.012716, loss_adv_spatial=0.006944, loss_adv_temporal=0.006950
step=400, loss=0.024777, loss_cross=0.010927, loss_adv_spatial=0.006937, loss_adv_temporal=0.006914
step=500, loss=0.023188, loss_cross=0.009291, loss_adv_spatial=0.006953, loss_adv_temporal=0.006944
step=600, loss=0.022919, loss_cross=0.009022, loss_adv_spatial=0.006964, loss_adv_temporal=0.006933
step=700, loss=0.022316, loss_cross=0.008431, loss_adv_spatial=0.006934, loss_adv_temporal=0.006950
step=800, loss=0.022139, loss_cross=0.008217, loss_adv_spatial=0.006935, loss_adv_temporal=0.006987
step=900, loss=0.023687, loss_cross=0.009806, loss_adv_spatial=0.006953, loss_adv_temporal=0.006928
step=1000, loss=0.022942, loss_cross=0.008995, loss_adv_spatial=0.006965, loss_adv_temporal=0.006982
step=1100, loss=0.023516, loss_cross=0.009383, loss_adv_spatial=0.006970, loss_adv_temporal=0.007163
step=1200, loss=0.020913, loss_cross=0.006902, loss_adv_spatial=0.006943, loss_adv_temporal=0.007067
step=1300, loss=0.024975, loss_cross=0.011087, loss_adv_spatial=0.006948, loss_adv_temporal=0.006940
step=1400, loss=0.022513, loss_cross=0.008558, loss_adv_spatial=0.006994, loss_adv_temporal=0.006961
step=1500, loss=0.020858, loss_cross=0.006903, loss_adv_spatial=0.006992, loss_adv_temporal=0.006963
step=1600, loss=0.021440, loss_cross=0.007379, loss_adv_spatial=0.007031, loss_adv_temporal=0.007030
step=1700, loss=0.021675, loss_cross=0.007764, loss_adv_spatial=0.006959, loss_adv_temporal=0.006951
step=1800, loss=0.021413, loss_cross=0.007444, loss_adv_spatial=0.006992, loss_adv_temporal=0.006978
step=1900, loss=0.020278, loss_cross=0.006395, loss_adv_spatial=0.006927, loss_adv_temporal=0.006955
step=2000, loss=0.021946, loss_cross=0.008050, loss_adv_spatial=0.006953, loss_adv_temporal=0.006943
step=2100, loss=0.020594, loss_cross=0.006694, loss_adv_spatial=0.006941, loss_adv_temporal=0.006958
step=2200, loss=0.021656, loss_cross=0.007516, loss_adv_spatial=0.007037, loss_adv_temporal=0.007102
step=2300, loss=0.020074, loss_cross=0.006147, loss_adv_spatial=0.006940, loss_adv_temporal=0.006987
step=2400, loss=0.020875, loss_cross=0.006972, loss_adv_spatial=0.006956, loss_adv_temporal=0.006948
step=2500, loss=0.019143, loss_cross=0.005144, loss_adv_spatial=0.007008, loss_adv_temporal=0.006990
step=2600, loss=0.021314, loss_cross=0.007316, loss_adv_spatial=0.006984, loss_adv_temporal=0.007013
step=2700, loss=0.020757, loss_cross=0.006723, loss_adv_spatial=0.006990, loss_adv_temporal=0.007044
step=2800, loss=0.020931, loss_cross=0.006504, loss_adv_spatial=0.007156, loss_adv_temporal=0.007271
step=2900, loss=0.019195, loss_cross=0.005077, loss_adv_spatial=0.007046, loss_adv_temporal=0.007072
step=3000, loss=0.020820, loss_cross=0.006705, loss_adv_spatial=0.007113, loss_adv_temporal=0.007002
step=3100, loss=0.020223, loss_cross=0.006049, loss_adv_spatial=0.007078, loss_adv_temporal=0.007096
step=3200, loss=0.021593, loss_cross=0.007577, loss_adv_spatial=0.006998, loss_adv_temporal=0.007018
step=3300, loss=0.019362, loss_cross=0.005188, loss_adv_spatial=0.007118, loss_adv_temporal=0.007056
step=3400, loss=0.021600, loss_cross=0.007320, loss_adv_spatial=0.007140, loss_adv_temporal=0.007140
step=3500, loss=0.020191, loss_cross=0.006022, loss_adv_spatial=0.007045, loss_adv_temporal=0.007123
step=3600, loss=0.019438, loss_cross=0.005232, loss_adv_spatial=0.007093, loss_adv_temporal=0.007114
step=3700, loss=0.020447, loss_cross=0.006412, loss_adv_spatial=0.007028, loss_adv_temporal=0.007007
step=3800, loss=0.019808, loss_cross=0.005864, loss_adv_spatial=0.006979, loss_adv_temporal=0.006965
step=3900, loss=0.021859, loss_cross=0.007737, loss_adv_spatial=0.007029, loss_adv_temporal=0.007093
step=4000, loss=0.020756, loss_cross=0.006694, loss_adv_spatial=0.007062, loss_adv_temporal=0.007000
step=4100, loss=0.020052, loss_cross=0.005751, loss_adv_spatial=0.007173, loss_adv_temporal=0.007128
step=4200, loss=0.022337, loss_cross=0.008214, loss_adv_spatial=0.007009, loss_adv_temporal=0.007114
step=4300, loss=0.019240, loss_cross=0.005179, loss_adv_spatial=0.007015, loss_adv_temporal=0.007046
step=4400, loss=0.018683, loss_cross=0.004471, loss_adv_spatial=0.007073, loss_adv_temporal=0.007139
step=4500, loss=0.021424, loss_cross=0.007305, loss_adv_spatial=0.007099, loss_adv_temporal=0.007020
step=4600, loss=0.018252, loss_cross=0.004186, loss_adv_spatial=0.007008, loss_adv_temporal=0.007058
step=4700, loss=0.019251, loss_cross=0.005050, loss_adv_spatial=0.007037, loss_adv_temporal=0.007165
step=4800, loss=0.019583, loss_cross=0.005224, loss_adv_spatial=0.007198, loss_adv_temporal=0.007161
step=4900, loss=0.020697, loss_cross=0.006501, loss_adv_spatial=0.007096, loss_adv_temporal=0.007099
step=5000, loss=0.019370, loss_cross=0.005231, loss_adv_spatial=0.007079, loss_adv_temporal=0.007060
step=5100, loss=0.019534, loss_cross=0.005271, loss_adv_spatial=0.007132, loss_adv_temporal=0.007131
step=5200, loss=0.020048, loss_cross=0.005817, loss_adv_spatial=0.007245, loss_adv_temporal=0.006986
step=5300, loss=0.020622, loss_cross=0.006521, loss_adv_spatial=0.007132, loss_adv_temporal=0.006970
step=5400, loss=0.019624, loss_cross=0.005409, loss_adv_spatial=0.007138, loss_adv_temporal=0.007077
step=5500, loss=0.019696, loss_cross=0.005633, loss_adv_spatial=0.007068, loss_adv_temporal=0.006995
step=5600, loss=0.019486, loss_cross=0.005360, loss_adv_spatial=0.007015, loss_adv_temporal=0.007111
step=5700, loss=0.020741, loss_cross=0.006524, loss_adv_spatial=0.007029, loss_adv_temporal=0.007187
step=5800, loss=0.019811, loss_cross=0.005443, loss_adv_spatial=0.007215, loss_adv_temporal=0.007153
step=5900, loss=0.020174, loss_cross=0.005662, loss_adv_spatial=0.007396, loss_adv_temporal=0.007115
step=6000, loss=0.020424, loss_cross=0.006074, loss_adv_spatial=0.007334, loss_adv_temporal=0.007016
step=6100, loss=0.019488, loss_cross=0.005197, loss_adv_spatial=0.007193, loss_adv_temporal=0.007098
step=6200, loss=0.019241, loss_cross=0.005066, loss_adv_spatial=0.007168, loss_adv_temporal=0.007007
