step=100, loss=0.836106, loss_cpred=0.282514, loss_apred=0.273616, loss_diff=0.279976
step=200, loss=0.355947, loss_cpred=0.128264, loss_apred=0.125746, loss_diff=0.101936
step=300, loss=0.286733, loss_cpred=0.103928, loss_apred=0.101492, loss_diff=0.081313
step=400, loss=0.269849, loss_cpred=0.098599, loss_apred=0.095566, loss_diff=0.075684
step=500, loss=0.287893, loss_cpred=0.106818, loss_apred=0.098619, loss_diff=0.082456
step=600, loss=0.217462, loss_cpred=0.078405, loss_apred=0.071980, loss_diff=0.067077
step=700, loss=0.212993, loss_cpred=0.074607, loss_apred=0.069772, loss_diff=0.068614
step=800, loss=0.181275, loss_cpred=0.062984, loss_apred=0.061763, loss_diff=0.056527
step=900, loss=0.189924, loss_cpred=0.063996, loss_apred=0.063798, loss_diff=0.062130
step=1000, loss=0.172388, loss_cpred=0.057540, loss_apred=0.055501, loss_diff=0.059347
step=1100, loss=0.162861, loss_cpred=0.058525, loss_apred=0.052798, loss_diff=0.051538
step=1200, loss=0.144870, loss_cpred=0.044625, loss_apred=0.046724, loss_diff=0.053520
step=1300, loss=0.182632, loss_cpred=0.069782, loss_apred=0.059733, loss_diff=0.053117
step=1400, loss=0.168291, loss_cpred=0.059773, loss_apred=0.054936, loss_diff=0.053582
step=1500, loss=0.112276, loss_cpred=0.036692, loss_apred=0.033148, loss_diff=0.042436
step=1600, loss=0.125986, loss_cpred=0.040507, loss_apred=0.039260, loss_diff=0.046219
step=1700, loss=0.114107, loss_cpred=0.037973, loss_apred=0.033898, loss_diff=0.042236
step=1800, loss=0.129921, loss_cpred=0.043517, loss_apred=0.040646, loss_diff=0.045758
step=1900, loss=0.125730, loss_cpred=0.038306, loss_apred=0.039208, loss_diff=0.048215
step=2000, loss=0.138802, loss_cpred=0.045562, loss_apred=0.046407, loss_diff=0.046833
step=2100, loss=0.151138, loss_cpred=0.050822, loss_apred=0.045646, loss_diff=0.054670
step=2200, loss=0.118888, loss_cpred=0.039808, loss_apred=0.033939, loss_diff=0.045140
step=2300, loss=0.139067, loss_cpred=0.046444, loss_apred=0.040962, loss_diff=0.051661
step=2400, loss=0.133365, loss_cpred=0.043379, loss_apred=0.040537, loss_diff=0.049449
step=2500, loss=0.143142, loss_cpred=0.046093, loss_apred=0.042397, loss_diff=0.054653
step=2600, loss=0.108364, loss_cpred=0.033860, loss_apred=0.032235, loss_diff=0.042269
step=2700, loss=0.113724, loss_cpred=0.035106, loss_apred=0.034911, loss_diff=0.043707
step=2800, loss=0.094857, loss_cpred=0.028745, loss_apred=0.026595, loss_diff=0.039517
step=2900, loss=0.121899, loss_cpred=0.038703, loss_apred=0.035911, loss_diff=0.047284
step=3000, loss=0.098543, loss_cpred=0.028922, loss_apred=0.029459, loss_diff=0.040163
step=3100, loss=0.090891, loss_cpred=0.027233, loss_apred=0.025521, loss_diff=0.038136
step=3200, loss=0.114789, loss_cpred=0.032109, loss_apred=0.036473, loss_diff=0.046207
step=3300, loss=0.210528, loss_cpred=0.077039, loss_apred=0.072841, loss_diff=0.060649
step=3400, loss=0.111744, loss_cpred=0.035405, loss_apred=0.032012, loss_diff=0.044328
step=3500, loss=0.092038, loss_cpred=0.027656, loss_apred=0.025835, loss_diff=0.038547
step=3600, loss=0.089834, loss_cpred=0.026182, loss_apred=0.025953, loss_diff=0.037699
step=3700, loss=0.104041, loss_cpred=0.031049, loss_apred=0.031813, loss_diff=0.041179
step=3800, loss=0.090444, loss_cpred=0.027572, loss_apred=0.026748, loss_diff=0.036125
step=3900, loss=0.105789, loss_cpred=0.034895, loss_apred=0.029360, loss_diff=0.041534
step=4000, loss=0.087711, loss_cpred=0.025065, loss_apred=0.025293, loss_diff=0.037353
step=4100, loss=0.097768, loss_cpred=0.031172, loss_apred=0.027220, loss_diff=0.039376
step=4200, loss=0.086459, loss_cpred=0.023151, loss_apred=0.025984, loss_diff=0.037324
step=4300, loss=0.094300, loss_cpred=0.029105, loss_apred=0.024409, loss_diff=0.040786
step=4400, loss=0.089235, loss_cpred=0.024837, loss_apred=0.027973, loss_diff=0.036425
step=4500, loss=0.098018, loss_cpred=0.030621, loss_apred=0.027118, loss_diff=0.040279
step=4600, loss=0.121290, loss_cpred=0.040124, loss_apred=0.038066, loss_diff=0.043100
step=4700, loss=0.089420, loss_cpred=0.026343, loss_apred=0.025225, loss_diff=0.037852
