step=100, loss=0.001809, loss_cross=0.000364, loss_adv_spatial=0.000721, loss_adv_temporal=0.000724
step=200, loss=0.001687, loss_cross=0.000126, loss_adv_spatial=0.000759, loss_adv_temporal=0.000803
step=300, loss=0.001564, loss_cross=0.000089, loss_adv_spatial=0.000725, loss_adv_temporal=0.000750
step=400, loss=0.001597, loss_cross=0.000095, loss_adv_spatial=0.000733, loss_adv_temporal=0.000770
step=500, loss=0.001619, loss_cross=0.000108, loss_adv_spatial=0.000751, loss_adv_temporal=0.000760
step=600, loss=0.001631, loss_cross=0.000104, loss_adv_spatial=0.000769, loss_adv_temporal=0.000758
step=700, loss=0.001634, loss_cross=0.000099, loss_adv_spatial=0.000772, loss_adv_temporal=0.000762
step=800, loss=0.001608, loss_cross=0.000080, loss_adv_spatial=0.000745, loss_adv_temporal=0.000783
step=900, loss=0.001605, loss_cross=0.000110, loss_adv_spatial=0.000746, loss_adv_temporal=0.000749
step=1000, loss=0.001649, loss_cross=0.000117, loss_adv_spatial=0.000766, loss_adv_temporal=0.000766
step=1100, loss=0.001607, loss_cross=0.000095, loss_adv_spatial=0.000755, loss_adv_temporal=0.000757
step=1200, loss=0.001677, loss_cross=0.000115, loss_adv_spatial=0.000785, loss_adv_temporal=0.000777
step=1300, loss=0.001647, loss_cross=0.000109, loss_adv_spatial=0.000790, loss_adv_temporal=0.000748
step=1400, loss=0.001647, loss_cross=0.000125, loss_adv_spatial=0.000741, loss_adv_temporal=0.000782
step=1500, loss=0.001749, loss_cross=0.000103, loss_adv_spatial=0.000826, loss_adv_temporal=0.000820
step=1600, loss=0.001780, loss_cross=0.000118, loss_adv_spatial=0.000840, loss_adv_temporal=0.000823
step=1700, loss=0.001827, loss_cross=0.000124, loss_adv_spatial=0.000877, loss_adv_temporal=0.000826
step=1800, loss=0.001968, loss_cross=0.000150, loss_adv_spatial=0.000986, loss_adv_temporal=0.000833
step=1900, loss=0.001825, loss_cross=0.000122, loss_adv_spatial=0.000871, loss_adv_temporal=0.000832
step=2000, loss=0.001826, loss_cross=0.000130, loss_adv_spatial=0.000867, loss_adv_temporal=0.000829
step=2100, loss=0.001732, loss_cross=0.000156, loss_adv_spatial=0.000827, loss_adv_temporal=0.000748
step=2200, loss=0.001819, loss_cross=0.000145, loss_adv_spatial=0.000892, loss_adv_temporal=0.000782
step=2300, loss=0.001816, loss_cross=0.000149, loss_adv_spatial=0.000841, loss_adv_temporal=0.000826
step=2400, loss=0.001717, loss_cross=0.000135, loss_adv_spatial=0.000810, loss_adv_temporal=0.000772
step=2500, loss=0.001836, loss_cross=0.000155, loss_adv_spatial=0.000902, loss_adv_temporal=0.000780
step=2600, loss=0.001859, loss_cross=0.000143, loss_adv_spatial=0.000901, loss_adv_temporal=0.000815
step=2700, loss=0.001819, loss_cross=0.000157, loss_adv_spatial=0.000846, loss_adv_temporal=0.000817
step=2800, loss=0.002135, loss_cross=0.000168, loss_adv_spatial=0.001083, loss_adv_temporal=0.000884
step=2900, loss=0.001908, loss_cross=0.000164, loss_adv_spatial=0.000900, loss_adv_temporal=0.000844
step=3000, loss=0.001969, loss_cross=0.000161, loss_adv_spatial=0.000974, loss_adv_temporal=0.000834
step=3100, loss=0.001969, loss_cross=0.000150, loss_adv_spatial=0.000970, loss_adv_temporal=0.000849
step=3200, loss=0.001925, loss_cross=0.000187, loss_adv_spatial=0.000936, loss_adv_temporal=0.000802
step=3300, loss=0.001759, loss_cross=0.000185, loss_adv_spatial=0.000807, loss_adv_temporal=0.000766
step=3400, loss=0.001868, loss_cross=0.000184, loss_adv_spatial=0.000862, loss_adv_temporal=0.000822
step=3500, loss=0.002077, loss_cross=0.000165, loss_adv_spatial=0.001011, loss_adv_temporal=0.000901
step=3600, loss=0.001954, loss_cross=0.000176, loss_adv_spatial=0.000887, loss_adv_temporal=0.000891
step=3700, loss=0.002126, loss_cross=0.000213, loss_adv_spatial=0.001054, loss_adv_temporal=0.000859
step=3800, loss=0.001913, loss_cross=0.000169, loss_adv_spatial=0.000888, loss_adv_temporal=0.000856
